Region,Category,ProductName,CategorySales,ProductRankInRegion
Africa,Furniture,"Sauder Classic Bookcase, Traditional",6539.85,1
Africa,Furniture,"Harbour Creations Executive Leather Armchair, Adjustable",5803.5,2
Africa,Furniture,"Ikea Classic Bookcase, Pine",4544.1,3
Africa,Furniture,"Ikea Classic Bookcase, Traditional",4117.5,4
Africa,Furniture,"SAFCO Executive Leather Armchair, Set of Two",3987.648,5
Africa,Furniture,"Chromcraft Wood Table, Adjustable Height",3877.68,6
Africa,Furniture,"Safco Library with Doors, Metal",3697.875,7
Africa,Furniture,"Barricks Computer Table, with Bottom Storage",3360.21,8
Africa,Furniture,"SAFCO Executive Leather Armchair, Red",3045.438,9
Africa,Furniture,"Bush Classic Bookcase, Mobile",3030.96,10
Africa,Furniture,"Chromcraft Round Table, Adjustable Height",3003.456,11
Africa,Furniture,"Safco Classic Bookcase, Traditional",2979.42,12
Africa,Furniture,"Office Star Executive Leather Armchair, Red",2818.08,13
Africa,Furniture,"Hon Training Table, Adjustable Height",2679.12,14
Africa,Furniture,"Sauder Classic Bookcase, Pine",2186.7,15
Africa,Furniture,"Bush Library with Doors, Metal",2182.68,16
Africa,Furniture,"Ikea Library with Doors, Traditional",2180.34,17
Africa,Furniture,"Bevis Wood Table, with Bottom Storage",2134.44,18
Africa,Furniture,"SAFCO Swivel Stool, Black",2101.977,19
Africa,Furniture,"Novimex Executive Leather Armchair, Adjustable",1965.132,20
Africa,Furniture,"Rubbermaid Frame, Erganomic",1953.18,21
Africa,Furniture,"SAFCO Executive Leather Armchair, Adjustable",1855.68,22
Africa,Furniture,"Bevis Conference Table, Rectangular",1842.66,23
Africa,Furniture,"Hon Executive Leather Armchair, Adjustable",1838.52,24
Africa,Furniture,"Ikea Classic Bookcase, Metal",1812.5459999999998,25
Africa,Furniture,"Sauder Floating Shelf Set, Traditional",1809.594,26
Africa,Furniture,"Chromcraft Conference Table, with Bottom Storage",1745.34,27
Africa,Furniture,"Lesro Conference Table, with Bottom Storage",1715.16,28
Africa,Furniture,"Bush Floating Shelf Set, Pine",1691.676,29
Africa,Furniture,"Sauder Library with Doors, Traditional",1666.809,30
